#Read position (bp)	Clipping profile
0.0	1.3405886717783824
1.0	1.3379996809993504
2.0	1.3029558415260252
3.0	1.264352139731531
4.0	1.2293083002582055
5.0	1.1806722591949625
6.0	1.161855844068784
7.0	1.1390634788176635
8.0	1.1142369065258748
9.0	1.0852956881745535
10.0	1.056770557627005
11.0	1.0408667571272372
12.0	1.0195075832002238
13.0	0.9976860894912402
14.0	0.9751248841311045
15.0	0.95085309557768
16.0	0.9337934956229874
17.0	0.9146534566494299
18.0	0.8914912355727334
19.0	0.8692074220817797
20.0	0.8475708562855842
21.0	0.8300951685271184
22.0	0.810955129553561
23.0	0.7934794417950952
24.0	0.7762811459058115
25.0	0.7614406809045748
26.0	0.7482183351402332
27.0	0.7360130928962254
28.0	0.7238078506522176
29.0	0.7104468089532849
30.0	0.6972244631889432
31.0	0.6857127006178904
32.0	0.6737386182648676
33.0	0.6614409120644659
34.0	0.6524256763160511
35.0	0.6426707289164842
36.0	0.6334705652552814
37.0	0.6245940254414576
38.0	0.6155787896930428
39.0	0.607904281312341
40.0	0.59944382930229
41.0	0.5934336721366802
42.0	0.5864526434289333
43.0	0.5792404548302015
44.0	0.5723056581006516
45.0	0.5659718770876627
46.0	0.5603315757476288
47.0	0.55492243429858
48.0	0.5496057568059252
49.0	0.5443353112914672
50.0	0.5374467465401143
51.0	0.5338868842189454
52.0	0.5287089026608816
53.0	0.5244093286885606
54.0	0.5193238110868907
55.0	0.5142845254634177
56.0	0.5097075596219149
57.0	0.502957690805153
58.0	0.49851942089824114
59.0	0.4948670946206782
60.0	0.49056752064835724
61.0	0.4874699781091584
62.0	0.4838638838097924
63.0	0.47877836620812253
64.0	0.4743863282794076
65.0	0.46939327463413166
66.0	0.46541732450918977
67.0	0.4622735499917938
68.0	0.4573729603029119
69.0	0.452657298526818
70.0	0.4485426524672851
71.0	0.4466009093830111
72.0	0.44419684651676716
73.0	0.44294858310544816
74.0	0.4400822004572343
75.0	0.4388801690241123
76.0	0.4399897365008403
77.0	0.4404058243046132
78.0	0.44003596847903725
79.0	0.44086814408658326
80.0	0.4438269906911912
81.0	0.4456300378408742
82.0	0.44720192509957213
83.0	0.4478491727943301
84.0	0.44900497224925506
85.0	0.45108541126812
86.0	0.453535706112561
87.0	0.4566332486517599
88.0	0.46014687899473183
89.0	0.4627821017519608
90.0	0.46541732450918977
91.0	0.46953197056872265
92.0	0.4733692247590736
93.0	0.47683662312384856
94.0	0.47965677379386545
95.0	0.48252315644207944
96.0	0.48585185887226334
97.0	0.48756244206555227
98.0	0.49149216021229725
99.0	0.49569927022822413
100.0	0.5006923238735
101.0	0.505038129824018
102.0	0.5101698794038848
103.0	0.5143769894198118
104.0	0.5195087389996786
105.0	0.5232997612118326
106.0	0.5271370154021835
107.0	0.5324999248730354
108.0	0.5374005145619173
109.0	0.5417925524906322
110.0	0.5479414055908332
111.0	0.5530731551707
112.0	0.5597305600310679
113.0	0.5645849177417528
114.0	0.5715659464494997
115.0	0.5790092949392165
116.0	0.5867762672763124
117.0	0.5944045436788172
118.0	0.6009232526045941
119.0	0.609013848789069
120.0	0.6177054606901047
121.0	0.6271830162204896
122.0	0.6367530357072684
123.0	0.6449360958481372
124.0	0.6533040839017941
125.0	0.6646309185600588
126.0	0.6762813770657026
127.0	0.6876082117239674
128.0	0.7001370778153542
129.0	0.7132207276451048
130.0	0.7270903211042046
131.0	0.7401277389557582
132.0	0.755707915608147
133.0	0.7699011329146257
134.0	0.7846953659376654
135.0	0.8021248217179341
136.0	0.8158094872642457
137.0	0.8286619772030115
138.0	0.8415606991199743
139.0	0.854228261145952
140.0	0.8745703315526315
141.0	0.8923696431584762
142.0	0.9090131553093959
143.0	0.9213570934879947
144.0	0.9324527682552745
145.0	0.9515928072288321
146.0	0.9596371714351101
147.0	0.9504370077739072
148.0	0.9284305861521356
149.0	0.7720740358898847
150.0	0.0
151.0	0.0
152.0	0.0
153.0	0.0
154.0	0.0
155.0	0.0
156.0	0.0
157.0	0.0
158.0	0.0
159.0	0.0
160.0	0.0
161.0	0.0
162.0	0.0
163.0	0.0
164.0	0.0
165.0	0.0
166.0	0.0
167.0	0.0
168.0	0.0
169.0	0.0
170.0	0.0
171.0	0.0
172.0	0.0
173.0	0.0
174.0	0.0
175.0	0.0
176.0	0.0
177.0	0.0
178.0	0.0
179.0	0.0
180.0	0.0
181.0	0.0
182.0	0.0
183.0	0.0
184.0	0.0
185.0	0.0
186.0	0.0
187.0	0.0
188.0	0.0
189.0	0.0
190.0	0.0
191.0	0.0
192.0	0.0
193.0	0.0
194.0	0.0
195.0	0.0
196.0	0.0
197.0	0.0
198.0	0.0
199.0	0.0
200.0	0.0
201.0	0.0
202.0	0.0
203.0	0.0
204.0	0.0
205.0	0.0
206.0	0.0
207.0	0.0
208.0	0.0
209.0	0.0
210.0	0.0
211.0	0.0
212.0	0.0
213.0	0.0
214.0	0.0
215.0	0.0
216.0	0.0
217.0	0.0
218.0	0.0
219.0	0.0
220.0	0.0
221.0	0.0
222.0	0.0
223.0	0.0
224.0	0.0
225.0	0.0
226.0	0.0
227.0	0.0
228.0	0.0
229.0	0.0
230.0	0.0
231.0	0.0
232.0	0.0
233.0	0.0
234.0	0.0
235.0	0.0
236.0	0.0
237.0	0.0
238.0	0.0
239.0	0.0
240.0	0.0
241.0	0.0
242.0	0.0
243.0	0.0
244.0	0.0
245.0	0.0
246.0	0.0
247.0	0.0
248.0	0.0
249.0	0.0
250.0	0.0
251.0	0.0
252.0	0.0
253.0	0.0
254.0	0.0
255.0	0.0
256.0	0.0
257.0	0.0
258.0	0.0
259.0	0.0
260.0	0.0
261.0	0.0
262.0	0.0
263.0	0.0
264.0	0.0
265.0	0.0
266.0	0.0
267.0	0.0
268.0	0.0
269.0	0.0
270.0	0.0
271.0	0.0
272.0	0.0
273.0	0.0
274.0	0.0
275.0	0.0
276.0	0.0
277.0	0.0
278.0	0.0
279.0	0.0
280.0	0.0
281.0	0.0
282.0	0.0
283.0	0.0
284.0	0.0
285.0	0.0
286.0	0.0
287.0	0.0
288.0	0.0
289.0	0.0
290.0	0.0
291.0	0.0
292.0	0.0
293.0	0.0
294.0	0.0
295.0	0.0
296.0	0.0
297.0	0.0
298.0	0.0
299.0	0.0
300.0	0.0
301.0	0.0
302.0	0.0
303.0	0.0
304.0	0.0
305.0	0.0
306.0	0.0
307.0	0.0
308.0	0.0
309.0	0.0
310.0	0.0
311.0	0.0
312.0	0.0
313.0	0.0
314.0	0.0
315.0	0.0
316.0	0.0
317.0	0.0
318.0	0.0
319.0	0.0
320.0	0.0
321.0	0.0
322.0	0.0
323.0	0.0
324.0	0.0
325.0	0.0
326.0	0.0
327.0	0.0
328.0	0.0
329.0	0.0
330.0	0.0
331.0	0.0
332.0	0.0
333.0	0.0
334.0	0.0
335.0	0.0
336.0	0.0
337.0	0.0
338.0	0.0
339.0	0.0
340.0	0.0
341.0	0.0
342.0	0.0
343.0	0.0
344.0	0.0
345.0	0.0
346.0	0.0
347.0	0.0
348.0	0.0
349.0	0.0
350.0	0.0
351.0	0.0
352.0	0.0
353.0	0.0
354.0	0.0
355.0	0.0
356.0	0.0
357.0	0.0
