#Coverage (X)	Coverage
1.0	0.1127604828254789
2.0	0.09637589247361689
3.0	0.08942226327549463
4.0	0.08598100861952673
5.0	0.08344690326428861
6.0	0.0814844650993507
7.0	0.07976746469212515
8.0	0.07831853402815625
9.0	0.07698024862682473
10.0	0.07579571242639815
11.0	0.07462626421633445
12.0	0.07355953040217855
13.0	0.07255646919691117
14.0	0.07162630103908896
15.0	0.07072521272593235
16.0	0.06984011510341759
17.0	0.06897993845643668
18.0	0.06816831418868219
19.0	0.0673773230701471
20.0	0.0666193772296424
21.0	0.06587855045511049
22.0	0.0651519412099617
23.0	0.0644586029179095
24.0	0.06378728406478729
25.0	0.06311164514605139
26.0	0.06245293185752132
27.0	0.06183732250725882
28.0	0.06123035328823789
29.0	0.060632894661424075
30.0	0.060037950699666
31.0	0.05946422019444242
32.0	0.05887917369645379
33.0	0.05831240687909656
34.0	0.057762404495463215
35.0	0.057239676555951746
36.0	0.05670676099900618
37.0	0.05618306588061728
38.0	0.055669558379648265
39.0	0.0551637238310434
40.0	0.054674428041110446
41.0	0.05420705497220979
42.0	0.05373819889571507
43.0	0.053269407297804605
44.0	0.05281776700518037
45.0	0.052363966679749296
46.0	0.05191896768202753
47.0	0.051487154556213
48.0	0.0510653356120514
49.0	0.05064290412127548
50.0	0.050229145001026154
51.0	0.049808164278545064
