#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	3.681600465354299E-6
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	3.681600465354299E-6
17.0	0.0
18.0	0.0
19.0	3.681600465354299E-6
20.0	0.0
21.0	7.363200930708598E-6
22.0	2.2089602792125793E-5
23.0	1.1044801396062897E-5
24.0	4.049760511889729E-5
25.0	4.7860806049605886E-5
26.0	8.099521023779457E-5
27.0	1.9144322419842354E-4
28.0	2.3562242978267513E-4
29.0	3.57115245139367E-4
30.0	5.816928735259792E-4
31.0	6.774144856251909E-4
32.0	8.357233056354258E-4
33.0	0.001192838550774793
34.0	0.001343784169854319
35.0	0.0017045810154590404
36.0	0.0025808019262133636
37.0	0.003652147661631465
38.0	0.004605682182158228
39.0	0.0050990166445157034
40.0	0.00632867119994404
41.0	0.007267479318609387
42.0	0.00858917388567158
43.0	0.008475044271245596
44.0	0.008357233056354258
45.0	0.008629671490790476
46.0	0.00880270671266213
47.0	0.009491165999683382
48.0	0.010952761384429039
49.0	0.011674355075638482
50.0	0.013198537668295162
51.0	0.015867698005677028
52.0	0.013032865647354218
53.0	0.015786702795439235
54.0	0.018010389476513226
55.0	0.019917458517566756
56.0	0.02311308772149429
57.0	0.025749113654687968
58.0	0.028444045195327308
59.0	0.03165808240158162
60.0	0.03482794040225167
61.0	0.03852058566900202
62.0	0.044863983270807484
63.0	0.0498010094948476
64.0	0.05272788186480427
65.0	0.05508410616263102
66.0	0.054171069247223154
67.0	0.05104539045213735
68.0	0.04889165417990509
69.0	0.04448846002334135
70.0	0.038281281638753994
71.0	0.032880373756079245
72.0	0.027295385850136772
73.0	0.02296582370288012
74.0	0.01915904882170377
75.0	0.01612541003825183
76.0	0.012495351979412492
77.0	0.010356342109041643
78.0	0.008176834633551898
79.0	0.006925090475331436
80.0	0.004896528618921217
81.0	0.0034938388416212297
82.0	0.0023599058982921054
83.0	0.001516819391725971
84.0	9.424897191307004E-4
85.0	5.080608642188932E-4
86.0	3.4975204420865843E-4
87.0	1.2885601628740047E-4
88.0	4.4179205584251586E-5
89.0	2.2089602792125793E-5
90.0	1.4726401861417196E-5
91.0	7.363200930708598E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.363200930708598E-6
